,Pais,Sexo,Edad,Causa de Muerte,Cantidad
0,0,0,0,0,161
1,0,0,0,1,39
2,0,0,0,2,4
3,0,0,0,3,0
4,0,0,0,4,0
5,0,0,0,5,0
6,0,0,0,6,5
7,0,0,0,7,65
8,0,0,0,8,0
9,0,0,0,9,0
10,0,0,0,10,0
11,0,0,0,11,4
12,0,0,0,12,0
13,0,0,0,13,165
14,0,0,0,14,148
15,0,0,0,15,0
16,0,0,0,16,0
17,0,0,0,17,0
18,0,0,0,18,0
19,0,0,0,19,2
20,0,0,0,20,1
21,0,0,0,21,1
22,0,0,0,22,1
23,0,0,0,23,72
24,0,0,0,24,22
25,0,0,0,25,4
26,0,0,0,26,53
27,0,0,0,27,1
28,0,0,0,28,15
29,0,0,0,29,3
30,0,0,0,30,161
31,0,0,0,31,68
32,0,0,0,32,0
33,0,0,0,33,0
34,0,0,0,34,1
35,0,0,0,35,10
36,0,0,0,36,1
37,0,0,0,37,333
38,0,0,0,38,1
39,0,0,0,39,110
40,0,0,0,40,9
41,0,0,0,41,40
42,0,0,0,42,0
43,0,0,0,43,12
44,0,0,0,44,4
45,0,0,0,45,15
46,0,0,0,46,12
47,0,0,0,47,0
48,0,0,0,48,1927
49,0,0,0,49,1064
50,0,0,0,50,247
51,0,0,0,51,423
52,0,0,0,52,322
53,0,0,0,53,95
54,0,0,0,54,5
55,0,0,0,55,66
56,0,0,0,56,20
57,0,0,0,57,20
58,0,0,0,58,0
59,0,0,0,59,16
60,0,0,1,0,55
61,0,0,1,1,4
62,0,0,1,2,11
63,0,0,1,3,0
64,0,0,1,4,0
65,0,0,1,5,0
66,0,0,1,6,1
67,0,0,1,7,29
68,0,0,1,8,0
69,0,0,1,9,0
70,0,0,1,10,3
71,0,0,1,11,3
72,0,0,1,12,0
73,0,0,1,13,189
74,0,0,1,14,178
75,0,0,1,15,2
76,0,0,1,16,3
77,0,0,1,17,0
78,0,0,1,18,2
79,0,0,1,19,4
80,0,0,1,20,0
81,0,0,1,21,3
