"Country or Area","Year","Area","Sex","Age","Cause of death (WHO)","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Argentina","2017","Total","Male","Total","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7115",""
"Argentina","2017","Total","Male","Total","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","282",""
"Argentina","2017","Total","Male","Total","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","366",""
"Argentina","2017","Total","Male","Total","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","Total","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","Total","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","Total","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Argentina","2017","Total","Male","Total","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4815",""
"Argentina","2017","Total","Male","Total","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","Total","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","Total","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","93",""
"Argentina","2017","Total","Male","Total","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","984",""
"Argentina","2017","Total","Male","Total","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","Total","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","33857",""
"Argentina","2017","Total","Male","Total","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","32395",""
"Argentina","2017","Total","Male","Total","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","644",""
"Argentina","2017","Total","Male","Total","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1173",""
"Argentina","2017","Total","Male","Total","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1907",""
"Argentina","2017","Total","Male","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4087",""
"Argentina","2017","Total","Male","Total","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1158",""
"Argentina","2017","Total","Male","Total","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2062",""
"Argentina","2017","Total","Male","Total","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6309",""
"Argentina","2017","Total","Male","Total","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3771",""
"Argentina","2017","Total","Male","Total","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2363",""
"Argentina","2017","Total","Male","Total","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","636",""
"Argentina","2017","Total","Male","Total","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","403",""
"Argentina","2017","Total","Male","Total","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6082",""
"Argentina","2017","Total","Male","Total","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4655",""
"Argentina","2017","Total","Male","Total","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","360",""
"Argentina","2017","Total","Male","Total","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","991",""
"Argentina","2017","Total","Male","Total","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2392",""
"Argentina","2017","Total","Male","Total","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","48321",""
"Argentina","2017","Total","Male","Total","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","41",""
"Argentina","2017","Total","Male","Total","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3629",""
"Argentina","2017","Total","Male","Total","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","12985",""
"Argentina","2017","Total","Male","Total","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9941",""
"Argentina","2017","Total","Male","Total","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1420",""
"Argentina","2017","Total","Male","Total","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","30480",""
"Argentina","2017","Total","Male","Total","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","15",""
"Argentina","2017","Total","Male","Total","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","15304",""
"Argentina","2017","Total","Male","Total","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4237",""
"Argentina","2017","Total","Male","Total","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9140",""
"Argentina","2017","Total","Male","Total","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","229",""
"Argentina","2017","Total","Male","Total","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4082",""
"Argentina","2017","Total","Male","Total","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","360",""
"Argentina","2017","Total","Male","Total","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6202",""
"Argentina","2017","Total","Male","Total","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4368",""
"Argentina","2017","Total","Male","Total","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","44",""
"Argentina","2017","Total","Male","Total","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1927",""
"Argentina","2017","Total","Male","Total","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","1217",""
"Argentina","2017","Total","Male","Total","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10269",""
"Argentina","2017","Total","Male","Total","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1061",""
"Argentina","2017","Total","Male","Total","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","14172",""
"Argentina","2017","Total","Male","Total","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6533",""
"Argentina","2017","Total","Male","Total","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3606",""
"Argentina","2017","Total","Male","Total","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","256",""
"Argentina","2017","Total","Male","Total","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","309",""
"Argentina","2017","Total","Male","Total","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","150",""
"Argentina","2017","Total","Male","Total","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","141",""
"Argentina","2017","Total","Male","Total","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2580",""
